Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
lager_3,-0.00625903536798766,-0.00779900598272498,-0.0214307160108012,0,0,0,0.217501483070319,0.00010688017697327,5.69256342166431E-06,4.74296033085289E-12,9.55271046555032E-05,1.63801228016922E-11,0.000156046837314054,0,0,0,0,0,0,package://Assem2/meshes/lager_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/lager_3.STL,,lager-3,Origin_lager_3_joint,Axis_lager_3_joint,lager_3_joint,revolute,0,0.01,0,0,0,0.67629,stangaktuator_3,0,0,1,1000,10,0,3.14,,,,,,,,
Xboven_3,4.05763955768634E-09,6.09896577685731E-11,4.05809807979551E-09,0,0,0,0.0563420368250424,1.6016916281612E-05,-1.72120546396361E-07,-9.17721836227853E-13,2.74613430745829E-05,6.10555470876526E-11,1.60143282288173E-05,0,0,0,0,0,0,package://Assem2/meshes/Xboven_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/Xboven_3.STL,,Kruisstuk 75-9,Origin_Xboven_3_joint,Axis_Xboven_3_joint,Xboven_3_joint,revolute,-0.006259,-0.007799,0.029884,1.5708,0,-2.7482,lager_3,0,0,-1,1000,10,0,3.14,,,,,,,,
U_3,-2.3036748952876E-08,0.0239652399553396,0.0339999609890491,0,0,0,0.0691682464622873,3.71147965435714E-05,2.53707498828416E-11,7.66384472414083E-11,3.75576086268656E-05,3.03218187826852E-11,2.10364251818792E-05,0,0,0,0,0,0,package://Assem2/meshes/U_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/U_3.STL,,U-3,Origin_U_3_joint,Axis_U_3_joint,U_3_joint,revolute,0.033996,0.00051099,0,-1.5708,-1.409,1.5858,Xboven_3,0,0,1,1000,10,0,3.14,,,,,,,,
schijfA_3,6.21724893790088E-15,0.000500000000001055,2.1094237467878E-14,0,0,0,0.00424821866581625,1.47161295786604E-06,-1.32878293600518E-20,3.07049443379684E-21,2.94251787928778E-06,7.94093388050907E-21,1.47161295786604E-06,0,0,0,0,0,0,package://Assem2/meshes/schijfA_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/schijfA_3.STL,,schijf A-19,Origin_schijfA_3_joint,,schijfA_3_joint,fixed,0,0.043,0.034,0,1.0472,0,U_3,0,0,0,,,,,,,,,,,,
Xonder_4,4.05809652548328E-09,1.0769163338864E-14,0.0339999959419079,0,0,0,0.0563420368250426,1.60143282288172E-05,6.10624437717872E-11,-9.14795583034644E-19,2.74639311273777E-05,6.10624437262591E-11,1.60143282288173E-05,0,0,0,0,0,0,package://Assem2/meshes/Xonder_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/Xonder_4.STL,,Kruisstuk 75-1,Origin_Xonder_4_joint,,Xonder_4_joint,revolute,1.1935,-0.86938,0.10128,1.136,-0.25483,0.5236,base_link,0,0,1,1000,10,0,3.14,,,,,,,,
onderaktuator_4,-0.0411337412926387,0.247258250437425,-0.00857883844072727,0,0,0,1.86541190786414,0.0614909110917856,0.00900450352666603,0.000789715243940566,0.00730358016572687,-0.00531197918510372,0.058339961955597,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_4.STL,,onder aktuator-4,Origin_onderaktuator_4_joint,,onderaktuator_4_joint,revolute,0.034,0,0.034,1.5708,-1.409,-1.5708,Xonder_4,0,0,1,1000,10,0,3.14,,,,,,,,
stangaktuator_4,1.94963892585776E-07,-2.11818474871173E-07,-0.175762019207903,0,0,0,0.278174378676583,0.0068049452112121,-9.01910545217117E-11,-1.84620097427376E-09,0.00680493850323008,3.85162448361509E-09,2.21879178679808E-05,0,0,0,0,0,0,package://Assem2/meshes/stangaktuator_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/stangaktuator_4.STL,,stang aktuator-4,Origin_stangaktuator_4_joint,Axis_stangaktuator_4_joint,stangaktuator_4_joint,prismatic,-0.099099,0.6073,0.043249,1.5384,-1.0883,-2.9511,onderaktuator_4,0,0,1,3000,10,0,0.4,,,,,,,,
lager_4,-2.28975044480606E-09,2.43712228176207E-09,-0.001204535813145,0,0,0,0.217501483163805,0.00010688017746121,5.69256294254417E-06,-5.81917940076964E-12,9.55271049058665E-05,-2.4674925732827E-11,0.000156046837681744,0,0,0,0,0,0,package://Assem2/meshes/lager_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/lager_4.STL,,lager-4,Origin_lager_4_joint,Axis_lager_4_joint,lager_4_joint,revolute,0,0,0.14276,0,0,1.2427,stangaktuator_4,0,0,1,1000,10,0,3.14,,,,,,,,
Xboven_4,-4.05809941206314E-09,0.000109841869041449,-1.65508687755E-06,0,0,0,0.0563420368250424,1.60143282288172E-05,6.10624438205445E-11,9.27395198125052E-19,2.74639311273776E-05,-6.10624438298089E-11,1.60143282288173E-05,0,0,0,0,0,0,package://Assem2/meshes/Xboven_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/Xboven_4.STL,,Kruisstuk 75-10,Origin_Xboven_4_joint,Axis_Xboven_4_joint,Xboven_4_joint,revolute,0,0,0.05,1.5858,0,1.9642,lager_4,1,0,0,1000,10,0,3.14,,,,,,,,
U_4,2.60076415958821E-08,0.0239652472102714,0.0340000285234168,0,0,0,0.0691681982520595,3.7114782075393E-05,-5.04668914807366E-11,8.98531533841595E-11,3.75575797219563E-05,-6.87942139146695E-11,2.10364065358853E-05,0,0,0,0,0,0,package://Assem2/meshes/U_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/U_4.STL,,U-4,Origin_U_4_joint,Axis_U_4_joint,U_4_joint,revolute,0,0.00010984,-0.034002,0,0,-0.16175,Xboven_4,0,0,1,1000,10,0,3.14,,,,,,,,
schijfA_4,1.33226762955019E-15,0.000499999999997391,2.88657986402541E-15,0,0,0,0.00424821866581672,1.47161295786621E-06,-8.89384594617015E-21,-3.17637355220363E-22,2.94251787928811E-06,-2.83226641738157E-21,1.47161295786621E-06,0,0,0,0,0,0,package://Assem2/meshes/schijfA_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/schijfA_4.STL,,schijf A-21,Origin_schijfA_4_joint,Axis_schijfA_4_joint,schijfA_4_joint,fixed,0,0.0429999999999974,0.0340000000000068,0,1.04719755119652,0,U_4,0,0,0,,,,,,,,,,,,
Xonder_5,4.05809630343867E-09,9.76996261670138E-15,0.0339999959419031,0,0,0,0.0563420368250423,1.60143282288172E-05,6.10624438535258E-11,-9.37241956136883E-19,2.74639311273776E-05,6.10624438048214E-11,1.60143282288172E-05,0,0,0,0,0,0,package://Assem2/meshes/Xonder_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/Xonder_5.STL,,Kruisstuk 75-6,Origin_Xonder_5_joint,,Xonder_5_joint,revolute,0.12662,-0.88144,0.12371,1.8505,0.41982,1.1637,base_link,0,0,1,1000,10,0,3.14,,,,,,,,
onderaktuator_5,-0.0463411886215642,0.249986948197703,0.0347759123967549,0,0,0,1.86541202623272,0.0584894971751281,-0.00457854821231517,7.49442424738556E-05,0.00569701951189276,7.66594475344899E-05,0.0629479410685052,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_5.STL,,onder aktuator-5,Origin_onderaktuator_5_joint,,onderaktuator_5_joint,revolute,0.034,0,0.034,1.5708,-1.5558,-1.5708,Xonder_5,0,0,1,1000,10,0,3.14,,,,,,,,
stangaktuator_5,1.75130262070056E-07,-2.05694856814098E-07,-0.300060127975425,0,0,0,0.278174242795763,0.0068049358601258,-4.64146770063484E-11,-6.17519129414949E-10,0.00680492912802032,3.5925436148176E-09,2.21879364471694E-05,0,0,0,0,0,0,package://Assem2/meshes/stangaktuator_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/stangaktuator_5.STL,,stang aktuator-5,Origin_stangaktuator_5_joint,Axis_stangaktuator_5_joint,stangaktuator_5_joint,prismatic,0,0.7397,0.034,-1.5708,1.5533,0,onderaktuator_5,0,0,1,3000,10,0,0.4,,,,,,,,
lager_5,0.000410382918921592,0.0099915734038275,0.0172570641122382,0,0,0,0.217501488445703,0.000106880179896209,5.6925627169493E-06,-3.29692583421416E-12,9.55271054844135E-05,3.30059828192929E-12,0.000156046840585406,0,0,0,0,0,0,package://Assem2/meshes/lager_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/lager_5.STL,,lager-5,Origin_lager_5_joint,Axis_lager_5_joint,lager_5_joint,revolute,0,0.01,0,0,0,-3.1005,stangaktuator_5,0,0,1,1000,10,0,3.14,,,,,,,,
Xboven_5,4.05763611599497E-09,6.09854389210795E-11,-4.058104130511E-09,0,0,0,0.0563420368250423,1.60169126111356E-05,-1.71998476680854E-07,-9.17723611291273E-13,2.74613467450592E-05,6.10555417331603E-11,1.60143282288172E-05,0,0,0,0,0,0,package://Assem2/meshes/Xboven_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/Xboven_5.STL,,Kruisstuk 75-11,Origin_Xboven_5_joint,Axis_Xboven_5_joint,Xboven_5_joint,revolute,0.00041038,0.0099916,0.068571,1.5708,0,-2.7482,lager_5,0,0,-1,1000,10,0,3.14,,,,,,,,
U_5,-2.12566814150605E-09,0.0239652144781018,0.0339999983527971,0,0,0,0.0691680568694601,3.71147033186243E-05,1.06001791382212E-11,1.14855490131275E-10,3.75575533782162E-05,6.47901289088591E-12,2.10363509122831E-05,0,0,0,0,0,0,package://Assem2/meshes/U_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/U_5.STL,,U-5,Origin_U_5_joint,Axis_U_5_joint,U_5_joint,revolute,0.033996,0.00051099,0,-1.5708,-1.409,1.5858,Xboven_5,0,0,-1,1000,10,0,3.14,,,,,,,,
schijfA_5,1.55431223447522E-15,0.000500000000000278,-6.43929354282591E-15,0,0,0,0.0042482186658164,1.4716129578661E-06,-8.76149704816167E-21,-6.88214269644119E-22,2.94251787928789E-06,5.55865371635635E-21,1.47161295786609E-06,0,0,0,0,0,0,package://Assem2/meshes/schijfA_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/schijfA_5.STL,,schijf A-23,Origin_schijfA_5_joint,Axis_schijfA_5_joint,schijfA_5_joint,fixed,0,0.0429999999999997,0.0339999999999993,-3.14159265358968,1.04719755119668,3.14159265358952,U_5,0,0,0,,,,,,,,,,,,
Xonder_6,4.05810463011136E-09,9.54791801177635E-15,0.0339999959419031,0,0,0,0.0563420368250425,1.60143282288173E-05,6.10624437908454E-11,-9.13101517140136E-19,2.74639311273777E-05,6.10624438679254E-11,1.60143282288173E-05,0,0,0,0,0,0,package://Assem2/meshes/Xonder_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/Xonder_6.STL,,Kruisstuk 75-5,Origin_Xonder_6_joint,,Xonder_6_joint,revolute,-0.058341,-1.2018,0.12371,1.8505,-0.41982,0.93066,base_link,0,0,1,1000,10,0,3.14,,,,,,,,
onderaktuator_6,0.0463411739603124,0.249986992262757,0.0332240898663568,0,0,0,1.86541128079666,0.0584894809092295,0.00457854631234544,7.49443593238905E-05,0.0056970200339165,-7.66594116394181E-05,0.0629479272042214,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_6.STL,,onder aktuator-6,Origin_onderaktuator_6_joint,,onderaktuator_6_joint,revolute,-0.034,0,0.034,1.5708,1.5558,1.5708,Xonder_6,0,0,1,1000,10,0,3.14,,,,,,,,
stangaktuator_6,1.79868898442237E-07,-1.96639883209837E-07,-0.340837572755451,0,0,0,0.27817434748845,0.00680492326270412,-3.98721557073184E-11,-7.28220931738077E-10,0.00680491651093548,2.7212980315621E-09,2.21879385829544E-05,0,0,0,0,0,0,package://Assem2/meshes/stangaktuator_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/stangaktuator_6.STL,,stang aktuator-6,Origin_stangaktuator_6_joint,Axis_stangaktuator_6_joint,stangaktuator_6_joint,prismatic,0,0.78048,0.034,1.5708,1.2161,-3.1416,onderaktuator_6,0,0,1,3000,10,0,0.4,,,,,,,,
lager_6,0.00918815121814573,-0.00394687565779428,-0.0235204437196399,0,0,0,0.217501684225934,0.000106880301476339,5.69254277140265E-06,1.28993747124394E-11,9.55271509879494E-05,5.19761401378673E-11,0.000156046899675735,0,0,0,0,0,0,package://Assem2/meshes/lager_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/lager_6.STL,,lager-6,Origin_lager_6_joint,Axis_lager_6_joint,lager_6_joint,revolute,0,0.01,0,0,0,-1.1651,stangaktuator_6,0,0,1,1000,10,0,3.14,,,,,,,,
Xboven_6,-4.05809819081782E-09,-6.0989879813178E-11,-4.05763855848562E-09,0,0,0,0.0563420368250425,1.60143282288172E-05,6.10555470656297E-11,-9.17722565099704E-13,2.74613430702804E-05,-1.72120689434286E-07,1.60169162859145E-05,0,0,0,0,0,0,package://Assem2/meshes/Xboven_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/Xboven_6.STL,,Kruisstuk 75-12,Origin_Xboven_6_joint,Axis_Xboven_6_joint,Xboven_6_joint,revolute,0.0091881,-0.0039469,0.027794,1.5708,0,1.9642,lager_6,-1,0,0,1000,10,0,3.14,,,,,,,,
U_6,2.59236936361873E-08,0.0239652389686342,0.0340000367475308,0,0,0,0.0691682399935604,3.71147960895398E-05,-2.83753046634731E-11,7.70337450851422E-11,3.75576093332134E-05,-3.92691170964164E-11,2.10364227127612E-05,0,0,0,0,0,0,package://Assem2/meshes/U_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/U_6.STL,,U-6,Origin_U_6_joint,Axis_U_6_joint,U_6_joint,revolute,0,0.00051099,0.033996,-3.1268,-0.0024205,-2.9799,Xboven_6,0,0,1,1000,10,0,3.14,,,,,,,,
schijfA_6,7.54951656745106E-15,0.000500000000001277,9.99200722162641E-15,0,0,0,0.00424821866581627,1.47161295786605E-06,-1.37907551724841E-20,2.48815928255951E-21,2.9425178792878E-06,4.6983858793012E-21,1.47161295786605E-06,0,0,0,0,0,0,package://Assem2/meshes/schijfA_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/schijfA_6.STL,,schijf A-25,Origin_schijfA_6_joint,Axis_schijfA_6_joint,schijfA_6_joint,fixed,0,0.0430000000000115,0.0339999999999832,0,-1.04719755119668,0,U_6,0,0,0,,,,,,,,,,,,
